post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49832406,GitHub has not removed malicious imitation software after 3 weeks,technology,70,22,hermitcrab,2026-09-24 22:43:01.765228,0.30985915492957744,False
49832646,LinkedIn wins court order blocking mass scraping of user data,technology,26,13,ilamont,2026-09-24 22:43:01.765228,0.48148148148148145,False
49832417,QR Codes That Route to the Appropriate App Store,technology,11,6,matthuggins,2026-09-24 22:43:01.765228,0.5,False
49832491,I Have a Confession: I Built This Site with AI – Please Forgive Me,technology,27,27,joelberger,2026-09-24 22:43:01.765228,0.9642857142857143,False
49822555,VSCode's SSH Agent Is Bananas (2025),technology,292,185,Rapzid,2026-09-24 22:43:01.765228,0.6313993174061433,True
49800557,Coulomb's law remains tricky to test at home,technology,14,11,surprisetalk,2026-09-24 22:43:01.765228,0.7333333333333333,False
49831236,"Humans Are Reading Your ChatGPT Chats, Lawsuit Claims",technology,22,8,nreece,2026-09-24 22:43:01.765228,0.34782608695652173,False
49824864,Virtio-nvgpu: Near-native Nvidia GPU access inside a KVM guest,technology,144,59,WanjohiRyan,2026-09-24 22:43:01.765228,0.4068965517241379,True
49832844,Federal judge orders Texas to air condition all prisons by the end of 2029,technology,18,1,bonefishgrill,2026-09-24 22:43:01.765228,0.05263157894736842,False
49830866,"Best LLM for every budget, updated daily",technology,130,85,terryds,2026-09-24 22:43:01.765228,0.648854961832061,True
49819880,Making Tailscale Faster,technology,222,90,yarapavan,2026-09-24 22:43:01.765228,0.40358744394618834,True
49832564,Oracle invokes force majeure on New Mexico AI data center,technology,6,1,dgellow,2026-09-24 22:43:01.765228,0.14285714285714285,False
49826565,Early rogue AI agent activity and attempts to hack found on urlquery.net,technology,200,188,snikolaev,2026-09-24 22:43:01.765228,0.9353233830845771,True
49823348,Mercury 2.5 LLM hits 770 tokens per second,technology,141,88,Retro_Dev,2026-09-24 22:43:01.765228,0.6197183098591549,True
49831220,"The Antennagate Q&A, which has never been available, has been posted today [video]",technology,12,4,philistine,2026-09-24 22:43:01.765228,0.3076923076923077,False
49831774,Disney+ and Hulu raise prices by up to 13 percent after doubling profits,technology,115,137,Brajeshwar,2026-09-24 22:43:01.765228,1.1810344827586208,True
49830037,Oracle Cites 'Force Majeure' to Shield Itself on Controversial Data Center,technology,82,76,simonpure,2026-09-24 22:43:01.765228,0.9156626506024096,False
49827794,Meta takes down a critical video about meta AI Glasses after filming at Meta,technology,553,328,pieterr,2026-09-24 22:43:01.765228,0.592057761732852,True
49826163,Nori LLM: Achieving Over 1M tok / s,technology,23,3,theahura,2026-09-24 22:43:01.765228,0.125,False
49820267,Cloud Agents Are Inevitable AI Prisons,technology,66,142,nponte,2026-09-24 22:43:01.765228,2.1194029850746268,False
49824884,Nesbox: A fast MicroVM with GPU sharing,technology,26,4,WanjohiRyan,2026-09-24 22:43:01.765228,0.14814814814814814,False
49815466,I don't want the details,technology,425,220,mooreds,2026-09-24 22:43:01.765228,0.5164319248826291,True
49822556,"OpenAI breaches Medicare, Albanese reveals",technology,239,247,jonnonz,2026-09-24 22:43:01.765228,1.0291666666666666,True
49814947,Claude Code reads AGENTS.md only when telemetry is on [fixed],technology,476,276,pszypowicz,2026-09-24 22:43:01.765228,0.5786163522012578,True
49829960,Owners mourn spoiled food after firmware update bricks Samsung smart fridges,worldnews,204,208,nonfamous,2026-09-24 22:43:03.766395,1.0146341463414634,True
49828409,Starlink ground station in Poland hit by fire in suspected arson attack,worldnews,150,158,giuliomagnifico,2026-09-24 22:43:03.766395,1.0463576158940397,True
49811429,Data-only attacks are easier than you think (2024),worldnews,101,43,segfaultbuserr,2026-09-24 22:43:03.766395,0.4215686274509804,False
49833344,US Government foots bill for television ad featuring Trump's midterm messaging,worldnews,7,0,cfowles,2026-09-24 22:43:03.766395,0.0,False
49826285,"OpenAI agent 'infiltrated' Australian government website, PM says",worldnews,11,2,Ozymandias-9,2026-09-24 22:43:03.766395,0.16666666666666666,False
49811065,Transit rewards,worldnews,255,336,raybb,2026-09-24 22:43:03.766395,1.3125,True
49794736,Looking forward to Git 2.56 – and 3.0,worldnews,201,114,chmaynard,2026-09-24 22:43:03.766395,0.5643564356435643,True
49808109,The UV index is not the warm sensation of sunlight on bare skin,worldnews,96,78,evakhoury,2026-09-24 22:43:03.766395,0.8041237113402062,False
49831894,"CIA warns Russia preparing attacks on Spain, France, Italy with drones from sea",worldnews,10,0,vrganj,2026-09-24 22:43:03.766395,0.0,False
49791647,Frontier AI on Your Own Hardware,worldnews,183,104,pretext,2026-09-24 22:43:03.766395,0.5652173913043478,True
49826029,"Ask HN: I just talked to an AI-obsessed client, and I need a shower afterwards",worldnews,17,15,platevoltage,2026-09-24 22:43:03.766395,0.8333333333333334,False
49810083,"I'm sick of Claudisms, & what will happen next in AI-boosted software dev",worldnews,19,6,rizsyed1,2026-09-24 22:43:03.766395,0.3,False
49815381,Samsung accidentally freezes its smart fridges with a software update,worldnews,242,270,Markoff,2026-09-24 22:43:03.766395,1.1111111111111112,True
49825363,OpenAI agents plotted to access government health data amid Medicare (AU) hack,worldnews,7,3,kripy,2026-09-24 22:43:03.766395,0.375,False
49778670,Software sandboxing: The basics (2025),worldnews,116,24,mococa,2026-09-24 22:43:03.766395,0.20512820512820512,True
49781693,Why Backprop Goes Backward (2018),worldnews,69,10,andsoitis,2026-09-24 22:43:03.766395,0.14285714285714285,False
49766966,Brood War Bench,worldnews,346,156,benswerd,2026-09-24 22:43:03.766395,0.4495677233429395,True
